date;count_1;count_2;count_3;count_4;amount_1;amount_2;amount_3;count_5;count_6;count_7;amount_4;type;response
20.02.2017;131;21;88;88;583490.1599999999;297865.16;285624.99999999994;4;39.0;80;254345.15999999997;CC;1
16.04.2017;173;26;88;88;584418.97;221407.87;363011.1;4;1.0;143;221407.87;O;1
19.02.2017;72;25;88;82;584473.03;302449.52;282023.51;4;0.0;60;222449.52000000002;O;1
22.07.2017;89;19;89;89;584492.79;324692.79000000004;259800.0;4;17.0;63;184077.79000000004;O;1
27.08.2017;160;25;92;92;584731.25;250639.72999999998;334091.52;4;19.0;138;197139.72999999998;O;0
25.12.2016;29;12;27;25;585452.24;510452.24;75000.0;1;0.0;19;71452.24;A;1
01.12.2017;36;13;41;41;585476.54;585476.54;0.0;2;0.0;29;86476.54000000001;O;0
20.03.2017;39;11;48;48;58566.69;58566.69;0.0;2;0.0;37;53566.69;O;0
10.01.2018;233;35;92;92;585727.5519999999;473710.55199999997;112016.99999999994;4;3.0;204;240710.55199999994;A;1
03.05.2017;6;2;12;0;585785.0;585785.0;0.0;2;0.0;1;1385.0;O;0
15.04.2017;105;22;78;78;585892.4099999999;274926.41;310965.99999999994;3;9.0;91;272526.4100000001;O;0
21.02.2017;132;30;73;70;587128.9935;308187.089;278941.9045;3;10.0;118;280367.08900000004;O;0
15.05.2017;194;23;91;90;587199.3177;587199.3177;0.0;4;0.0;160;255870.81770000004;BBB;1
09.01.2017;70;22;92;92;587894.6200000001;587894.6200000001;0.0;4;0.0;68;537894.62;O;1
06.08.2017;93;17;103;90;588032.64;558032.64;30000.0;5;0.0;61;177473.64;O;1
20.07.2017;25;5;66;46;588778.3;588778.3;0.0;3;0.0;4;7700.3;O;0
28.07.2017;37;13;16;16;58880.53429999999;58880.53429999999;0.0;2;0.0;37;58880.5343;O;0
08.07.2017;91;27;91;87;588906.5;292507.5;296399.0;4;8.0;80;257807.5;O;0
24.06.2017;33;4;87;76;589000.0;314000.0;275000.0;4;11.0;20;305000.0;A;1
28.01.2017;114;30;90;88;589073.8104;304914.81039999996;284159.0;4;8.0;103;303194.8104;F;1
06.11.2017;240;37;91;91;589305.467;292831.96699999995;296473.5;4;6.0;201;223311.967;O;1
12.03.2017;15;4;88;0;589437.34;589437.34;0.0;4;0.0;3;12437.34;BBB;0
08.07.2017;138;27;92;92;589597.1700000002;399554.1200000001;190043.05000000005;4;5.0;120;221054.12;O;0
07.02.2017;95;15;90;87;589773.4299999999;589773.4299999999;0.0;4;0.0;52;59573.43;AA;1
05.02.2017;7;3;11;4;589938.9;589938.9;0.0;2;0.0;2;4938.9;O;0
28.06.2017;22;4;81;56;590047.0;590047.0;0.0;4;0.0;8;6047.0;A;1
12.11.2016;196;20;84;84;59021.47;58775.59;245.88000000000466;3;0.0;195;58775.59000000002;O;0
05.06.2017;137;35;67;59;590258.98;267857.69;322401.29;3;0.0;123;258857.69;F;0
28.03.2017;32;4;91;64;590316.5;588367.2;1949.3000000000466;4;0.0;8;42467.200000000004;A;1
29.03.2018;21;10;40;28;590919.0;590919.0;0.0;2;0.0;8;13875.0;CC;0
02.03.2017;295;44;90;90;591321.5654;532705.9913;58615.57409999997;4;0.0;258;324825.49129999994;O;1
19.02.2017;27;9;78;47;591345.0;276345.0;315000.0;4;10.0;10;30397.0;CC;0
15.02.2017;184;25;90;90;591484.8999999999;354166.45999999996;237318.43999999994;4;0.0;172;354166.45999999973;O;1
28.08.2017;16;6;133;10;591823.0;591823.0;0.0;3;0.0;7;7223.0;A;0
17.03.2017;13;2;82;0;592205.0;592205.0;0.0;4;0.0;1;343.0;CC;0
29.08.2017;342;31;93;92;592939.9199999999;274439.92;318499.99999999994;4;22.0;312;161139.91999999998;D;1
08.08.2017;106;13;90;90;593051.91;593051.91;0.0;4;0.0;106;593051.9099999999;O;1
17.06.2017;87;22;91;91;593062.8;294550.84;298511.96;4;2.0;79;294550.83999999997;O;0
23.09.2017;126;15;97;92;593225.3699999999;588225.3699999999;5000.0;4;0.0;83;126625.37000000001;O;1
10.09.2017;138;15;90;88;593287.45;528287.45;65000.0;4;3.0;124;82187.45;A;1
24.10.2017;169;23;92;92;593822.78;513822.78;80000.0;4;5.0;139;146722.77999999994;O;1
14.07.2017;104;29;92;92;594350.17;304350.17000000004;290000.0;3;8.0;96;304350.17;O;1
13.03.2018;32;15;19;19;59436.65;42736.65;16700.0;2;1.0;30;42736.65;O;1
04.07.2017;99;16;90;90;594668.7;301120.69999999995;293548.0;4;7.0;83;207520.7;O;1
06.05.2017;85;19;137;91;594709.4;344709.4;250000.0;5;3.0;79;195709.39999999997;O;1
13.11.2017;196;26;97;74;5947505.539999999;2648005.5399999996;3299499.9999999995;4;73.0;75;166764.53999999998;D;1
28.11.2016;27;6;81;60;594807.55;304837.55000000005;289970.0;4;8.0;13;214437.55;A;0
04.07.2017;111;31;92;92;594862.1599999999;594862.1599999999;0.0;4;0.0;108;535862.16;O;1
04.10.2017;33;19;90;58;595054.094;304823.734;290230.36000000004;4;0.0;23;303823.734;F;1
12.07.2017;204;24;92;92;595831.47;591841.47;3990.0;4;0.0;183;162141.47000000003;O;0
15.12.2016;160;19;90;90;595876.17;300926.17000000004;294950.0;4;42.0;117;295926.16999999987;D;0
